"","Wardcode","hhSocialRented","JobSeekers","Noqual","Carsperhousehold"
"432","00BAGB",3.7,1.4,7.8,0.8
"433","00BAGC",27.3,9.1,21,0.8
"434","00BAGD",3.9,6,15.8,0.9
"435","00BAGE",9.9,1.2,6.4,0.8
"436","00BAGF",20.4,5.7,18.1,0.8
"437","00BAGG",10.6,6,19.1,1
"438","00BAGH",4.1,3.1,20.9,1.3
"439","00BAGJ",3.9,2.5,11.5,1
"440","00BAGK",24.1,8.4,21.7,1
"441","00BAGL",25.1,6.8,23.7,0.9
"442","00BAGM",10.7,1.8,9.7,1
"443","00BAGN",31,6.2,23.7,0.9
"444","00BAGP",11.9,2.8,9.2,0.8
"445","00BAGQ",5.6,0.9,6.8,1.4
"446","00BAGR",5.2,2.4,13.9,1.1
"447","00BAGS",8.3,2,7.8,1
"448","00BBGB",36.5,6.5,19.2,0.7
"449","00BBGC",25.8,9.8,22.4,0.6
"450","00BBGD",49.3,14.4,25.7,0.5
"451","00BBGE",36,9.2,22.6,0.5
"452","00BBGF",41.4,9.5,25.3,0.7
"453","00BBGG",15.7,8.4,19.3,0.6
"454","00BBGH",17.6,8.9,19.9,0.7
"455","00BBGJ",31.1,10.4,24.3,0.7
"456","00BBGK",28.9,8.7,17.8,0.6
"457","00BBGL",26.4,9.8,17.6,0.6
"458","00BBGM",12.8,9.5,20.3,0.6
"459","00BBGN",13.5,9.7,21.6,0.7
"460","00BBGP",30.1,12,23.2,0.6
"461","00BBGQ",22.5,10.9,20.7,0.7
"462","00BBGR",41.7,11.3,23.6,0.5
"463","00BBGS",25.1,10.5,21.8,0.6
"464","00BBGT",30.8,5.6,14.1,0.7
"465","00BBGU",31.8,7,13.9,0.4
"466","00BBGW",17.7,8.4,19.6,0.7
"467","00BBGX",40.9,10.9,20.9,0.5
"468","00BCFY",11.3,5.3,19.6,1.1
"469","00BCFZ",4.7,4.2,17.2,1.2
"470","00BCGA",13.8,4.5,19.9,1.1
"471","00BCGB",10,6.5,18.5,1
"472","00BCGC",8.2,3.7,12.3,1.1
"473","00BCGD",4.9,3.6,17,1.4
"474","00BCGE",10.7,9.1,18.6,0.8
"475","00BCGF",5.3,5.1,17.6,1.2
"476","00BCGG",9.7,5.2,21.2,1.2
"477","00BCGH",14.9,6.1,23.4,1.2
"478","00BCGJ",8.5,8.4,18.1,1
"479","00BCGK",27.3,8.4,28.9,1
"480","00BCGL",22.8,10.7,20.1,0.7
"481","00BCGM",7.6,7,20.5,1.2
"482","00BCGN",4.4,1.9,15,1.4
"483","00BCGP",10,6.5,17.4,1.1
"484","00BCGQ",15.9,5,15.9,1.1
"485","00BCGR",8.2,8,18.4,1
"486","00BCGS",11.8,2.8,14.9,1
"487","00BCGT",8.9,8.8,16.6,0.8
"488","00BCGU",14.3,3,15.2,1.1
"489","00BDFW",17.9,2.1,9.1,1
"490","00BDFX",7.6,1.5,6.6,1.1
"491","00BDFY",8,1.9,10.8,1.1
"492","00BDFZ",18.5,3.1,14.1,1
"493","00BDGA",13.8,1.7,12.5,1.2
"494","00BDGB",22.5,2.9,17.6,1.2
"495","00BDGC",15.1,1.8,10,1.1
"496","00BDGD",21.2,3.8,20.4,1.2
"497","00BDGE",9.9,1.7,7.5,1
"498","00BDGF",16,2.3,9.8,0.9
"499","00BDGG",16.9,2.1,10.2,0.9
"500","00BDGH",4,1.6,6.6,1.1
"501","00BDGJ",13.9,2,7.1,0.9
"502","00BDGK",6.6,1.3,6.4,1.1
"503","00BDGL",8.5,1.5,7.7,1.1
"504","00BDGM",6.2,1.5,6.2,0.9
"505","00BDGN",11.5,2.1,13.4,1.1
"506","00BDGP",9.8,2.8,17,1.2
"507","00BEGC",46.6,10.1,15.2,0.5
"508","00BEGD",63.5,11.6,19.3,0.4
"509","00BEGE",42.8,7.1,12.7,0.4
"510","00BEGF",43.3,6.4,11.3,0.4
"511","00BEGG",27.2,5.8,13.6,0.8
"512","00BEGH",20.3,4.6,12.3,0.7
"513","00BEGJ",53.9,7.4,20.8,0.4
"514","00BEGK",68.4,10.3,21.8,0.4
"515","00BEGL",45,7.6,15.7,0.4
"516","00BEGM",66.9,13.1,23.8,0.4
"517","00BEGN",54.2,7.8,19.4,0.4
"518","00BEGP",47.4,11.3,21.1,0.5
"519","00BEGQ",59.4,14.4,19.6,0.5
"520","00BEGR",25.3,5.8,13.8,0.7
"521","00BEGS",34.3,4.7,13.5,0.5
"522","00BEGT",45.6,5.8,17.5,0.5
"523","00BEGU",52.3,8.7,21.9,0.5
"524","00BEGW",37.9,6.8,12.4,0.6
"525","00BEGX",23.9,3.7,11.8,0.6
"526","00BEGY",41.5,9.7,17.5,0.5
"527","00BEGZ",15.5,2.8,9.4,1
"528","00BFGC",9,3.8,19.8,1.3
"529","00BFGD",35.9,6.2,21,1.3
"530","00BFGE",10,3,13.7,1.2
"531","00BFGF",7,3.3,15.4,1.2
"532","00BFGG",10.6,3,15.5,1.5
"533","00BFGH",2.5,1.9,14.6,1.5
"534","00BFGJ",3.6,1.7,18.6,1.4
"535","00BFGK",40.5,7.5,27.3,1
"536","00BFGL",3.7,2.8,20.5,1.4
"537","00BFGM",22.7,5.6,18.6,0.8
"538","00BFGN",11.1,3.8,21.6,1.1
"539","00BFGP",11.9,3.5,15.7,0.9
"540","00BFGQ",3.9,2.5,13.5,1.1
"541","00BFGR",14.7,4.1,22.2,1.1
"542","00BFGS",12.9,3.3,16.4,1.1
"543","00BFGT",16.4,4.2,18.7,1.1
"544","00BFGU",33.6,6.6,23.7,1
"545","00BFGW",6.4,2.4,17.2,1.2
"546","00BGFW",46,12.8,22.1,0.4
"547","00BGFX",44.9,10.9,21.4,0.3
"548","00BGFY",28.6,6.7,14.6,0.5
"549","00BGFZ",42.8,10.5,21.4,0.4
"550","00BGGA",39,8.8,20.3,0.5
"551","00BGGC",57.5,19.5,30.7,0.4
"552","00BGGD",41.2,11.7,21.9,0.5
"553","00BGGE",46,8.8,19.5,0.4
"554","00BGGF",52.9,14.8,23.3,0.4
"555","00BGGG",20.6,5.1,11.4,0.5
"556","00BGGH",54,11.7,26.9,0.4
"557","00BGGJ",20.3,4.3,12.3,0.6
"558","00BGGK",42.7,14.8,21.3,0.4
"559","00BGGL",31.9,11.2,17.2,0.3
"560","00BGGM",43.4,11.7,20.6,0.3
"561","00BGGN",32.9,9.3,17.1,0.3
"562","00BHFX",28.3,10.5,19.2,0.6
"563","00BHFY",38.5,13.2,19.3,0.5
"564","00BHFZ",15.7,8.2,18.7,0.9
"565","00BHGA",15.4,4.9,24.2,1.1
"566","00BHGB",14.7,4.8,23.5,1.3
